chargingStationId,idTokenId,transactionId,vehicleConnected,chargingStarted,chargingEnded,vehicleDisconnected,durationOfCharging,chargedEnergyInfrastructure,chargedEnergyVehicle,maxCurrent,averageCurrent,startSoC,stopSoc,odometer,chargingSessionState,failureReason
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,a64e51d9-0979-44bc-8406-28fe32dcb5d3,2022-03-16T00:47:01.712Z,,,2022-03-16T00:47:06.881Z,0,,,,,,,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,e0194dd3-339a-4691-a308-e4d1c0cf0022,2022-03-16T00:48:13.424Z,,,2022-03-16T00:48:17.977Z,0,,,,,,,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,4e042fec-170a-4015-a459-f4e642f7cf8c,2022-03-16T00:49:35.13Z,,,2022-03-16T00:49:39.687Z,0,,,,,,,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,7dfe8297-fa52-4a7b-9657-675936613296,2022-03-16T00:50:40.835Z,,,2022-03-16T00:50:45.386Z,0,,,,,,,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,d35dd2e7-d203-4551-ae60-c077627c00d1,2022-03-16T00:53:36.538Z,,,2022-03-16T00:54:00.714Z,0,,,,,,,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,d887faa0-abef-4b48-9349-f9b86d02ca41,2022-03-16T00:56:38.45Z,,,2022-03-16T00:56:43.624Z,0,,,,,,,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,64cc6cd0-c01b-43e5-ba6d-d245c470aaa1,2022-03-16T01:01:39.11Z,,,2022-03-16T01:01:44.287Z,0,,,,,,,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,d80770ba-022f-4fed-a659-25a5e2711a4f,2022-03-16T01:06:52.956Z,,,2022-03-16T01:07:11.622Z,0,,,,,,,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,6cf7ad69-e871-440e-be5f-06ef6790280e,2022-03-16T01:08:38.561Z,,,2022-03-16T01:08:43.119Z,0,,,,,,,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,1833e201-9e73-4710-ba33-fd1864632d67,2022-03-16T01:11:54.327Z,,,2022-03-16T01:12:18.456Z,0,,,,,,,,FinishedSuccessfully,
